Refrence sample (Frozen),
043 Frozen day 33001:10_UV,
ml, mAU
0.13,0.028
0.42,0.02
0.71,-0.028
1.01,-0.024
1.30,-0.016
1.59,-0.016
1.89,-0.028
2.18,-0.012
2.47,-0.02
2.77,-0.012
3.06,-0.004
3.35,-0.008
3.65,-0.032
3.94,-0.02
4.23,-0.004
4.52,-0.02
4.82,-0.04
5.11,-0.012
5.40,0
5.70,-0.04
5.99,-0.036
6.28,-0.036
6.58,0.02
6.87,-0.024
7.16,-0.036
7.46,-0.048
7.75,-0.02
8.04,-0.012
8.34,-0.032
8.63,-0.044
8.92,-0.028
9.22,-0.02
9.51,-0.028
9.80,-0.032
10.10,-0.02
10.39,-0.016
10.68,-0.04
10.98,-0.036
11.27,-0.02
11.56,-0.016
11.86,-0.04
12.15,-0.04
12.44,-0.028
12.74,-0.012
13.03,-0.048
13.32,-0.044
13.61,-0.024
13.91,-0.028
14.20,-0.032
14.49,-0.044
14.79,-0.028
15.08,-0.024
15.37,-0.044
15.67,-0.04
15.96,0.016
16.25,-0.064
16.55,-0.028
16.84,-0.032
17.13,-0.036
17.43,-0.04
17.72,-0.028
18.01,-0.024
18.31,-0.048
18.60,-0.032
18.89,-0.032
19.19,-0.024
19.48,-0.044
19.77,-0.04
20.07,-0.04
20.36,-0.048
20.65,-0.04
20.95,-0.024
21.24,-0.024
21.53,-0.024
21.82,-0.04
22.12,-0.036
22.41,-0.032
22.70,-0.04
23.00,-0.024
23.29,-0.016
23.58,-0.048
23.88,-0.048
24.17,-0.032
24.46,-0.032
24.76,-0.056
25.05,-0.06
25.34,-0.028
25.64,-0.04
25.93,-0.036
26.22,-0.044
26.52,-0.06
26.81,-0.04
27.10,-0.032
27.40,-0.052
27.69,-0.044
27.98,-0.036
28.28,-0.032
28.57,-0.052
28.86,-0.06
29.16,-0.032
29.45,-0.044
29.74,-0.048
30.03,-0.044
30.33,-0.032
30.62,-0.028
30.91,-0.052
31.21,-0.052
31.50,-0.028
31.79,-0.036
32.09,-0.016
32.38,0.028
32.67,0.048
32.97,0.032
33.26,0.008
33.55,0
33.85,-0.008
34.14,0.004
34.43,0
34.73,-0.004
35.02,-0.012
35.31,-0.016
35.61,0.004
35.90,0.012
36.19,-0.004
36.49,-0.02
36.78,0.012
37.07,-0.008
37.37,-0.012
37.66,-0.004
37.95,-0.004
38.24,-0.004
38.54,-0.016
38.83,0.004
39.12,-0.008
39.42,-0.004
39.71,0.02
40.00,0.02
40.30,0.024
40.59,0.02
40.88,0.06
41.18,0.088
41.47,0.084
41.76,0.096
42.06,0.116
42.35,0.116
42.64,0.112
42.94,0.108
43.23,0.152
43.52,0.156
43.82,0.156
44.11,0.152
44.40,0.248
44.70,0.4
44.99,0.568
45.28,0.792
45.58,1.112
45.87,1.368
46.16,1.452
46.45,1.404
46.75,1.272
47.04,1.132
47.33,0.972
47.63,0.86
47.92,0.788
48.21,0.748
48.51,0.704
48.80,0.676
49.09,0.676
49.39,0.7
49.68,0.696
49.97,0.724
50.27,0.764
50.56,0.812
50.85,0.832
51.15,0.88
51.44,0.936
51.73,1.016
52.03,1.076
52.32,1.176
52.61,1.276
52.91,1.388
53.20,1.492
53.49,1.572
53.79,1.668
54.08,1.716
54.37,1.796
54.66,1.836
54.96,1.828
55.25,1.808
55.54,1.808
55.84,1.78
56.13,1.776
56.42,1.732
56.72,1.736
57.01,1.744
57.30,1.748
57.60,1.8
57.89,1.828
58.18,1.892
58.48,1.96
58.77,2.092
59.06,2.284
59.36,2.544
59.65,2.908
59.94,3.424
60.24,4.1
60.53,4.988
60.82,6.104
61.12,7.472
61.41,9.08
61.70,10.836
62.00,12.76
62.29,14.768
62.58,16.728
62.88,18.572
63.17,20.06
63.46,21.192
63.75,21.908
64.05,22.16
64.34,21.924
64.63,21.272
64.93,20.208
65.22,18.828
65.51,17.216
65.81,15.496
66.10,13.724
66.39,11.964
66.69,10.256
66.98,8.764
67.27,7.392
67.57,6.144
67.86,5.112
68.15,4.264
68.45,3.536
68.74,2.94
69.03,2.44
69.33,2.064
69.62,1.76
69.91,1.496
70.21,1.28
70.50,1.136
70.79,0.992
71.09,0.876
71.38,0.768
71.67,0.696
71.96,0.68
72.26,0.548
72.55,0.52
72.84,0.448
73.14,0.412
73.43,0.384
73.72,0.352
74.02,0.308
74.31,0.264
74.60,0.256
74.90,0.244
75.19,0.22
75.48,0.2
75.78,0.2
76.07,0.172
76.36,0.156
76.66,0.136
76.95,0.156
77.24,0.132
77.54,0.132
77.83,0.136
78.12,0.112
78.42,0.1
78.71,0.108
79.00,0.104
79.30,0.104
79.59,0.084
79.88,0.124
80.17,0.112
80.47,0.084
80.76,0.088
81.05,0.1
81.35,0.156
81.64,0.096
81.93,0.08
82.23,0.084
82.52,0.096
82.81,0.092
83.11,0.072
83.40,0.048
83.69,0.084
83.99,0.072
84.28,0.044
84.57,0.04
84.87,0.052
85.16,0.056
85.45,0.024
85.75,0.02
86.04,0.048
86.33,0.028
86.63,0.024
86.92,0.016
87.21,0.012
87.51,0.016
87.80,-0.004
88.09,0.008
88.38,0.004
88.68,0.008
88.97,0
89.26,-0.012
89.56,0
89.85,0
90.14,-0.012
90.44,-0.004
90.73,0.052
91.02,-0.024
91.32,0.008
91.61,-0.004
91.90,-0.012
92.20,-0.024
92.49,0.016
92.78,-0.004
93.08,-0.024
93.37,-0.004
93.66,-0.016
93.96,-0.024
94.25,-0.016
94.54,-0.036
94.84,-0.02
95.13,-0.024
95.42,-0.032
95.72,-0.028
96.01,-0.032
96.30,-0.04
96.59,-0.032
96.89,-0.036
97.18,-0.028
97.47,-0.044
97.77,-0.012
98.06,-0.02
98.35,-0.04
98.65,-0.036
98.94,-0.016
99.23,-0.028
99.53,-0.028
99.82,-0.04
100.11,0.004
100.41,-0.008
100.70,-0.02
100.99,-0.044
101.29,-0.04
101.58,0
101.87,-0.016
102.17,-0.036
102.46,-0.02
102.75,-0.008
103.05,-0.02
103.34,-0.04
103.63,-0.032
103.93,-0.008
104.22,-0.028
104.51,-0.044
104.80,-0.024
105.10,-0.008
105.39,-0.032
105.68,-0.052
105.98,-0.028
106.27,-0.016
106.56,-0.036
106.86,-0.024
107.15,-0.02
107.44,-0.024
107.74,-0.024
108.03,-0.028
108.32,-0.028
108.62,-0.032
108.91,-0.028
109.20,-0.028
109.50,0.012
109.79,-0.044
110.08,-0.036
110.38,-0.024
110.67,-0.032
110.96,-0.048
111.26,-0.02
111.55,-0.008
111.84,-0.012
112.14,-0.004
112.43,0
112.72,0.004
113.02,0.004
113.31,0.004
113.60,0.036
113.89,0.036
114.19,0.04
114.48,0.044
114.77,0.044
115.07,0.056
115.36,0.056
115.65,0.06
115.95,0.048
116.24,0.024
116.53,0.028
116.83,0.024
117.12,-0.008
117.41,-0.008
117.71,-0.024
118.00,-0.004
118.29,-0.028
118.59,-0.056
118.88,-0.08
119.17,-0.068
119.47,-0.024
119.76,-0.052
120.05,-0.056
120.35,-0.032
120.64,-0.02
120.93,-0.028
121.23,-0.024
121.52,0.008
121.81,0.02
122.10,-0.004
122.40,-0.008
122.69,0.008
122.98,0.004
123.28,-0.02
123.57,-0.044
123.86,-0.028
124.16,-0.028
124.45,-0.048
124.74,-0.052
125.04,-0.04
