Lyopholized in Dextran; Stored 30 days at 45$^\circ$C,
043 Dextran 45C day 30001:10_UV,
ml, mAU
0.00,-0.55
0.13,-0.17
0.27,-0.03
0.40,0.02
0.53,-0.05
0.67,-0.03
0.80,0.03
0.93,-0.04
1.07,-0.02
1.20,0.03
1.33,-0.08
1.47,-0.01
1.60,-0.04
1.73,-0.02
1.87,0.02
2.00,-0.04
2.13,-0.04
2.27,0.02
2.40,-0.03
2.53,-0.06
2.67,0.04
2.80,-0.03
2.93,-0.01
3.06,0.06
3.20,-0.03
3.33,-0.01
3.46,0.05
3.60,-0.03
3.73,-0.03
3.86,0.05
4.00,-0.03
4.13,-0.04
4.26,0.05
4.40,-0.05
4.53,-0.02
4.66,0.02
4.80,-0.07
4.93,-0.01
5.06,0.00
5.20,-0.05
5.33,0.02
5.46,-0.02
5.60,-0.04
5.73,0.01
5.86,-0.05
6.00,-0.04
6.13,-0.01
6.26,-0.01
6.40,0.00
6.53,-0.04
6.66,-0.01
6.80,-0.02
6.93,-0.03
7.06,-0.01
7.20,-0.03
7.33,0.00
7.46,0.00
7.60,-0.02
7.73,-0.01
7.86,0.00
8.00,-0.04
8.13,-0.02
8.26,-0.01
8.40,-0.02
8.53,0.00
8.66,-0.04
8.79,-0.01
8.93,0.01
9.06,-0.01
9.19,-0.03
9.33,0.00
9.46,-0.03
9.59,-0.05
9.73,-0.01
9.86,-0.06
9.99,-0.03
10.13,-0.02
10.26,-0.08
10.39,-0.04
10.53,0.12
10.66,-0.07
10.79,-0.07
10.93,-0.11
11.06,-0.02
11.19,-0.06
11.33,-0.08
11.46,-0.02
11.59,-0.08
11.73,-0.04
11.86,-0.02
11.99,-0.08
12.13,-0.07
12.26,-0.04
12.39,-0.07
12.53,-0.01
12.66,-0.04
12.79,-0.06
12.93,-0.08
13.06,-0.05
13.19,-0.11
13.33,-0.05
13.46,-0.05
13.59,-0.07
13.73,-0.06
13.86,-0.05
13.99,-0.07
14.13,-0.05
14.26,-0.01
14.39,-0.01
14.52,-0.06
14.66,-0.04
14.79,0.02
14.92,-0.04
15.06,0.00
15.19,-0.02
15.32,-0.06
15.46,0.00
15.59,0.00
15.72,-0.07
15.86,-0.01
15.99,-0.02
16.12,-0.06
16.26,-0.03
16.39,-0.03
16.52,-0.04
16.66,-0.04
16.79,-0.03
16.92,-0.07
17.06,-0.03
17.19,-0.04
17.32,-0.06
17.46,-0.11
17.59,-0.04
17.72,-0.09
17.86,-0.10
17.99,-0.08
18.12,-0.09
18.26,-0.08
18.39,-0.05
18.52,-0.11
18.66,-0.06
18.79,-0.06
18.92,-0.12
19.06,-0.06
19.19,-0.05
19.32,-0.12
19.46,-0.02
19.59,-0.07
19.72,-0.14
19.86,0.04
19.99,-0.24
20.12,-0.10
20.25,-0.11
20.39,-0.16
20.52,-0.04
20.65,-0.07
20.79,-0.13
20.92,-0.05
21.05,-0.11
21.19,-0.12
21.32,-0.05
21.45,-0.11
21.59,-0.10
21.72,-0.06
21.85,-0.10
21.99,-0.12
22.12,-0.05
22.25,-0.11
22.39,-0.10
22.52,-0.05
22.65,-0.10
22.79,-0.10
22.92,-0.07
23.05,-0.11
23.19,-0.09
