Lyopholized in Dextranol; Stored 30 days at 45$^\circ$C,
043 20190329 Day 30 Frozen001:10_UV,
ml, mAU
0.00,5.49
0.13,-2.07
0.27,-0.49
0.40,0.14
0.53,0.55
0.67,0.35
0.80,0.23
0.93,0.14
1.07,0.09
1.20,0.13
1.33,0.04
1.47,0.03
1.60,0.04
1.73,0.03
1.87,0.05
2.00,0.02
2.13,-0.04
2.27,-0.04
2.40,0.08
2.53,-0.07
2.67,-0.06
2.80,-0.03
2.93,-0.02
3.07,0.17
3.20,-0.06
3.33,-0.06
3.47,-0.08
3.60,-0.04
3.73,-0.06
3.87,-0.09
4.00,-0.10
4.13,-0.12
4.27,-0.09
4.40,-0.07
4.53,-0.06
4.67,-0.10
4.80,-0.06
4.93,-0.09
5.07,-0.09
5.20,-0.04
5.33,-0.11
5.47,-0.13
5.60,-0.04
5.73,-0.14
5.87,-0.09
6.00,-0.06
6.13,-0.12
6.27,-0.10
6.40,-0.10
6.53,-0.13
6.67,-0.12
6.80,-0.14
6.93,-0.11
7.07,-0.15
7.20,-0.15
7.33,-0.15
7.47,-0.14
7.60,-0.17
7.73,-0.13
7.87,-0.14
8.00,-0.11
8.13,-0.11
8.27,-0.15
8.40,-0.12
8.53,-0.12
8.67,-0.17
8.80,-0.17
8.93,-0.14
9.07,-0.18
9.20,-0.15
9.33,-0.15
9.47,-0.17
9.60,-0.13
9.73,-0.17
9.87,-0.18
10.00,-0.16
10.13,-0.19
10.27,-0.20
10.40,-0.17
10.53,-0.16
10.67,-0.19
10.80,-0.19
10.93,-0.18
11.07,-0.20
11.20,-0.23
11.33,-0.19
11.47,-0.22
11.60,-0.22
11.73,-0.19
11.87,-0.23
12.00,-0.20
12.13,-0.18
12.27,-0.23
12.40,-0.04
12.53,-0.26
12.67,-0.20
12.80,-0.17
12.93,-0.24
13.07,-0.20
13.20,-0.18
13.33,-0.22
13.47,-0.15
13.60,-0.15
13.73,-0.23
13.87,-0.16
14.00,-0.17
14.13,-0.24
14.27,-0.16
14.40,-0.19
14.53,-0.22
14.67,-0.13
14.80,-0.25
14.93,-0.21
15.07,-0.13
15.20,-0.21
15.33,-0.21
15.47,-0.20
15.60,-0.25
15.73,-0.21
15.87,-0.18
16.00,-0.20
16.13,-0.20
16.27,-0.18
16.40,-0.21
16.53,-0.22
16.67,-0.16
16.80,-0.17
16.93,-0.19
17.07,-0.18
17.20,-0.18
17.33,-0.19
17.47,-0.17
17.60,-0.18
17.73,-0.19
17.87,-0.16
18.00,-0.18
18.13,-0.21
18.27,-0.18
18.40,-0.19
18.53,-0.20
18.67,-0.16
18.80,-0.22
18.93,-0.20
19.07,-0.18
19.20,-0.24
19.33,-0.18
19.47,-0.20
19.60,-0.21
19.73,-0.20
19.87,-0.21
20.00,-0.23
20.13,-0.22
20.27,-0.21
20.40,-0.22
20.53,-0.21
20.67,-0.21
20.80,-0.22
20.93,-0.26
21.07,-0.22
21.20,-0.21
21.33,-0.22
21.47,-0.22
21.60,-0.25
21.73,-0.09
21.87,-0.22
22.00,-0.22
22.13,-0.28
22.27,-0.20
22.40,-0.20
22.53,-0.25
22.67,-0.19
22.80,-0.24
22.93,-0.26
23.07,-0.20
23.20,-0.23
23.33,-0.24
23.47,-0.17
23.60,-0.23
23.73,-0.22
23.87,-0.21
24.00,-0.25
24.13,-0.25
24.27,-0.27
24.40,-0.23
24.53,-0.25
24.67,-0.23
24.80,-0.23
24.93,-0.24
25.07,-0.22
25.20,-0.22
25.33,-0.25
25.47,-0.23
25.60,-0.22
25.73,-0.25
25.87,-0.22
26.00,-0.22
26.13,-0.23
26.27,-0.26
26.40,-0.24
26.53,-0.24
26.67,-0.16
26.80,-0.11
26.93,-0.08
27.07,-0.09
27.20,-0.14
27.33,-0.13
27.47,-0.11
27.60,-0.15
27.73,-0.16
27.87,-0.16
28.00,-0.14
28.13,-0.11
28.27,-0.07
28.40,-0.04
28.53,-0.05
28.67,-0.06
28.80,-0.07
28.93,-0.12
29.07,-0.08
29.20,-0.05
29.33,-0.12
29.47,-0.08
29.60,-0.05
29.73,-0.15
29.87,-0.12
30.00,-0.10
30.13,-0.12
30.27,-0.10
30.40,-0.11
30.53,-0.15
30.67,-0.10
30.80,-0.09
30.93,-0.17
31.07,0.00
31.20,-0.11
31.33,-0.18
31.47,-0.13
31.60,-0.22
31.73,-0.14
31.87,-0.15
32.00,-0.20
32.13,-0.11
32.27,-0.14
32.40,-0.18
32.53,-0.14
32.67,-0.15
32.80,-0.15
32.93,-0.14
33.07,-0.17
33.20,-0.19
33.33,-0.19
33.47,-0.17
33.60,-0.19
33.73,-0.18
33.87,-0.15
34.00,-0.18
34.13,-0.18
34.27,-0.17
34.40,-0.22
34.53,-0.17
34.66,-0.17
34.80,-0.22
34.93,-0.18
35.06,-0.19
35.20,-0.24
35.33,-0.18
35.46,-0.22
35.60,-0.21
35.73,-0.18
35.86,-0.19
36.00,-0.22
36.13,-0.18
36.26,-0.19
36.40,-0.22
36.53,-0.17
36.66,-0.20
36.80,-0.20
36.93,-0.20
37.06,-0.24
37.20,-0.17
37.33,-0.19
37.46,-0.22
37.60,-0.21
37.73,-0.22
37.86,-0.20
38.00,-0.17
38.13,-0.17
38.26,-0.19
38.40,-0.21
38.53,-0.19
38.66,-0.22
38.80,-0.22
38.93,-0.14
39.06,-0.17
39.20,-0.17
39.33,-0.11
39.46,-0.10
39.60,-0.09
39.73,0.00
39.86,0.05
40.00,0.11
40.13,0.20
40.26,0.21
40.40,0.34
40.53,0.49
40.66,0.41
40.80,0.48
40.93,0.57
41.06,0.65
41.20,0.69
41.33,0.77
41.46,0.88
41.60,0.91
41.73,1.00
41.86,1.09
42.00,1.13
42.13,1.17
42.26,1.29
42.40,1.29
42.53,1.40
42.66,1.46
42.80,1.42
42.93,1.56
43.06,1.62
43.20,1.65
43.33,1.77
43.46,1.81
43.60,1.85
43.73,1.98
43.86,2.02
44.00,2.14
44.13,2.21
44.26,2.31
44.40,2.37
44.53,2.43
44.66,2.48
44.80,2.52
44.93,2.54
45.06,2.55
45.20,2.50
45.33,2.48
45.46,2.38
45.60,2.34
45.73,2.15
45.86,2.04
46.00,1.91
46.13,1.74
46.26,1.61
46.40,1.42
46.53,1.32
46.66,1.25
46.80,1.09
46.93,1.05
47.06,0.97
47.20,0.87
47.33,0.85
47.46,0.78
47.60,0.73
47.73,0.74
47.86,0.67
48.00,0.67
48.13,0.67
48.26,0.67
48.40,0.63
48.53,0.64
48.66,0.67
48.80,0.62
48.93,0.62
49.06,0.66
49.20,0.60
49.33,0.61
49.46,0.70
49.60,0.63
49.73,0.63
49.86,0.70
50.00,0.57
50.13,0.68
50.26,0.67
50.40,0.68
50.53,0.72
50.66,0.67
50.80,0.72
50.93,0.80
51.06,0.76
51.20,0.77
51.33,0.90
51.46,0.81
51.60,0.86
51.73,0.98
51.86,0.91
52.00,0.97
52.13,1.07
52.26,1.01
52.40,1.14
52.53,1.21
52.66,1.20
52.80,1.29
52.93,1.35
53.06,1.39
53.20,1.49
53.33,1.54
53.46,1.53
53.60,1.61
53.73,1.65
53.86,1.68
54.00,1.78
54.13,1.79
54.26,1.76
