Lyopholized in Dextran; Stored 33 days at room temperature,
043 20190401 Dextran RT 33 days001:10_UV,
ml, mAU
0.00,-0.30
0.13,-0.57
0.27,0.01
0.40,-0.01
0.53,-0.06
0.67,-0.02
0.80,-0.04
0.93,-0.01
1.07,0.01
1.20,-0.03
1.33,-0.01
1.47,0.00
1.60,-0.03
1.73,0.01
1.87,-0.02
2.00,0.00
2.13,-0.01
2.27,-0.03
2.40,0.02
2.53,-0.01
2.67,0.00
2.80,-0.01
2.93,0.00
3.07,-0.01
3.20,-0.02
3.33,-0.02
3.47,0.16
3.60,-0.02
3.73,-0.05
3.87,-0.04
4.00,0.01
4.13,-0.07
4.27,-0.04
4.40,0.04
4.53,-0.08
4.66,-0.01
4.80,0.01
4.93,-0.04
5.06,0.00
5.20,0.02
5.33,0.00
5.46,-0.02
5.60,-0.01
5.73,-0.03
5.86,-0.03
6.00,0.00
6.13,0.00
6.26,-0.03
6.40,0.03
6.53,-0.02
6.66,-0.02
6.80,0.03
6.93,-0.02
7.06,-0.01
7.20,-0.01
7.33,-0.03
7.46,-0.02
7.60,-0.01
7.73,0.01
7.86,-0.02
8.00,0.01
8.13,-0.02
8.26,-0.01
8.40,-0.02
8.53,-0.01
8.66,-0.06
8.80,-0.01
8.93,-0.02
9.06,-0.01
9.20,-0.02
9.33,-0.01
9.46,-0.03
9.60,-0.04
9.73,0.00
9.86,-0.06
10.00,0.00
10.13,0.00
10.26,-0.09
10.40,-0.02
10.53,0.01
10.66,-0.06
10.80,0.00
10.93,-0.03
11.06,-0.06
11.20,0.01
11.33,-0.06
11.46,-0.06
11.60,0.00
11.73,-0.03
11.86,-0.02
12.00,-0.03
12.13,-0.02
12.26,-0.02
12.40,0.01
12.53,-0.03
12.66,-0.04
12.80,0.08
12.93,-0.16
13.06,-0.02
13.20,-0.05
13.33,-0.06
13.46,-0.03
13.60,-0.05
13.73,-0.08
13.86,0.01
13.99,-0.04
14.13,-0.02
14.26,0.00
14.39,-0.03
14.53,-0.02
14.66,0.00
14.79,-0.03
14.93,-0.06
15.06,0.03
15.19,-0.05
15.33,-0.04
15.46,0.04
15.59,-0.04
15.73,-0.04
15.86,0.04
15.99,-0.04
16.13,-0.04
16.26,0.05
16.39,-0.07
16.53,0.00
16.66,0.03
16.79,-0.06
16.93,-0.01
17.06,0.01
17.19,-0.04
17.33,-0.01
17.46,0.01
17.59,-0.04
17.73,-0.03
17.86,-0.01
17.99,-0.06
18.13,-0.02
18.26,-0.01
18.39,-0.04
18.53,0.02
18.66,0.01
18.79,-0.02
18.93,-0.01
19.06,-0.01
19.19,-0.04
19.33,-0.04
19.46,0.01
19.59,-0.01
19.73,-0.03
19.86,0.03
19.99,-0.01
20.13,-0.01
20.26,0.01
20.39,-0.02
20.53,-0.01
20.66,0.00
20.79,-0.05
20.93,0.00
21.06,-0.02
21.19,-0.04
21.33,-0.03
21.46,-0.03
21.59,-0.01
21.73,-0.02
21.86,-0.02
21.99,-0.02
22.13,0.16
22.26,-0.07
22.39,-0.03
22.53,-0.04
22.66,-0.02
22.79,0.01
22.93,-0.05
23.06,0.02
23.19,0.00
23.32,-0.06
23.46,0.00
23.59,-0.02
23.72,-0.05
23.86,0.01
23.99,-0.02
24.12,-0.03
24.26,0.01
24.39,-0.06
24.52,-0.01
24.66,-0.01
24.79,-0.02
24.92,-0.03
25.06,-0.03
25.19,-0.04
25.32,0.00
25.46,0.00
25.59,-0.01
25.72,-0.02
25.86,-0.04
25.99,-0.01
26.12,-0.05
26.26,-0.01
26.39,0.03
26.52,-0.04
26.66,-0.01
26.79,0.00
26.92,-0.02
27.06,-0.01
27.19,0.04
27.32,-0.02
27.46,0.00
27.59,0.03
27.72,-0.04
27.86,0.01
27.99,-0.01
28.12,-0.06
28.26,0.00
28.39,0.02
28.52,-0.04
28.66,0.01
28.79,0.01
28.92,-0.03
29.06,-0.01
29.19,0.02
29.32,0.03
29.46,-0.02
29.59,0.03
29.72,-0.02
29.86,0.01
29.99,0.06
30.12,-0.02
30.26,0.00
30.39,0.03
30.52,-0.03
30.66,0.02
30.79,0.07
30.92,-0.07
31.06,0.00
31.19,0.02
31.32,-0.05
31.46,0.15
31.59,-0.06
31.72,-0.07
31.86,0.01
31.99,-0.05
32.12,-0.03
32.25,0.02
32.39,-0.09
32.52,-0.01
32.65,0.00
32.79,-0.08
32.92,-0.02
33.05,-0.03
33.19,-0.09
33.32,-0.01
33.45,-0.03
33.59,-0.07
33.72,-0.01
33.85,-0.04
33.99,-0.08
34.12,-0.01
34.25,-0.06
34.39,-0.03
34.52,-0.01
34.65,-0.04
34.79,-0.06
34.92,0.00
35.05,-0.01
35.19,-0.05
35.32,-0.03
35.45,-0.03
35.59,-0.07
35.72,-0.02
35.85,-0.05
35.99,-0.07
36.12,0.01
36.25,-0.04
36.39,-0.03
36.52,-0.01
36.65,-0.03
36.79,-0.03
36.92,0.01
37.05,-0.03
37.19,-0.05
37.32,-0.01
37.45,-0.07
37.59,-0.02
37.72,-0.01
37.85,-0.04
37.99,-0.03
38.12,0.01
38.25,-0.06
38.39,-0.02
38.52,-0.01
38.65,-0.04
38.79,-0.03
38.92,-0.02
39.05,0.00
39.19,-0.02
39.32,0.00
39.45,0.01
39.59,0.03
39.72,0.04
39.85,0.06
39.99,0.05
40.12,0.11
40.25,0.16
40.39,0.22
40.52,0.29
40.65,0.32
40.79,0.53
40.92,0.60
41.05,0.53
41.19,0.56
41.32,0.67
41.45,0.78
41.58,0.75
41.72,0.89
41.85,0.90
41.98,0.89
42.12,0.99
42.25,1.01
42.38,1.00
42.52,1.04
42.65,1.04
42.78,1.04
42.92,1.05
43.05,1.10
43.18,1.07
43.32,1.09
43.45,1.10
43.58,1.09
43.72,1.10
43.85,1.17
43.98,1.11
44.12,1.22
44.25,1.25
44.38,1.29
44.52,1.41
44.65,1.49
44.78,1.57
44.92,1.69
45.05,1.74
45.18,1.80
45.32,1.84
45.45,1.83
45.58,1.83
45.72,1.83
45.85,1.73
45.98,1.65
46.12,1.57
46.25,1.47
46.38,1.40
46.52,1.32
46.65,1.26
46.78,1.24
46.92,1.16
47.05,1.14
47.18,1.08
47.32,1.04
47.45,1.08
47.58,1.01
47.72,0.94
47.85,1.01
47.98,0.94
48.12,0.97
48.25,1.01
48.38,0.93
48.52,0.96
48.65,1.04
48.78,0.92
48.92,1.00
49.05,1.01
49.18,1.00
49.32,1.06
49.45,1.10
49.58,1.05
49.72,1.09
49.85,1.16
49.98,1.10
50.12,1.13
50.25,1.25
50.38,1.14
50.52,1.26
50.65,1.23
50.78,1.30
50.91,1.38
51.05,1.34
51.18,1.42
51.31,1.50
51.45,1.47
51.58,1.55
51.71,1.63
51.85,1.64
51.98,1.69
52.11,1.79
52.25,1.77
52.38,1.85
52.51,1.96
52.65,1.95
52.78,2.02
52.91,2.12
53.05,2.10
53.18,2.20
53.31,2.26
53.45,2.21
53.58,2.36
53.71,2.37
53.85,2.37
53.98,2.46
54.11,2.48
54.25,2.47
54.38,2.53
54.51,2.57
54.65,2.55
54.78,2.62
54.91,2.61
55.05,2.63
55.18,2.68
55.31,2.68
55.45,2.69
55.58,2.74
55.71,2.73
55.85,2.75
55.98,2.79
56.11,2.78
56.25,2.83
56.38,2.85
56.51,2.88
56.65,2.90
56.78,2.94
56.91,2.99
57.05,2.96
57.18,3.03
57.31,3.09
57.45,3.09
57.58,3.18
57.71,3.20
57.85,3.22
57.98,3.35
58.11,3.35
58.25,3.42
58.38,3.50
58.51,3.56
58.65,3.66
58.78,3.78
58.91,3.87
59.05,4.02
59.18,4.15
59.31,4.28
59.45,4.47
59.58,4.82
59.71,4.94
59.84,5.15
59.98,5.48
60.11,5.85
60.24,6.17
60.38,6.56
60.51,7.08
60.64,7.50
60.78,8.06
60.91,8.65
61.04,9.17
61.18,9.79
61.31,10.47
61.44,11.09
61.58,11.82
61.71,12.53
61.84,13.16
61.98,13.91
62.11,14.62
62.24,15.24
62.38,15.93
62.51,16.51
62.64,17.06
62.78,17.63
62.91,18.03
63.04,18.43
63.18,18.74
63.31,19.01
63.44,19.19
63.58,19.27
63.71,19.29
63.84,19.28
63.98,19.04
64.11,18.87
64.24,18.61
64.38,18.24
64.51,17.83
64.64,17.38
64.78,16.81
64.91,16.30
65.04,15.68
65.18,15.02
65.31,14.38
65.44,13.74
65.58,13.02
65.71,12.38
65.84,11.67
65.98,11.01
66.11,10.34
66.24,9.70
66.38,9.06
66.51,8.47
66.64,7.86
66.78,7.31
66.91,6.79
67.04,6.31
67.18,5.78
67.31,5.37
67.44,4.97
67.58,4.55
67.71,4.24
67.84,3.91
67.98,3.56
68.11,3.32
68.24,3.03
68.38,2.76
68.51,2.66
68.64,2.37
68.78,2.19
68.91,2.11
69.04,1.78
69.17,1.70
69.31,1.56
69.44,1.43
69.57,1.42
69.71,1.30
69.84,1.17
69.97,1.17
70.11,1.07
70.24,0.95
70.37,0.99
70.51,0.86
70.64,0.81
70.77,0.81
70.91,0.69
71.04,0.67
71.17,0.69
71.31,0.60
71.44,0.61
71.57,0.60
71.71,0.51
71.84,0.51
71.97,0.52
72.11,0.46
72.24,0.48
72.37,0.46
72.51,0.41
72.64,0.40
72.77,0.44
72.91,0.34
73.04,0.33
73.17,0.38
73.31,0.31
73.44,0.29
73.57,0.34
73.71,0.28
73.84,0.27
73.97,0.30
74.11,0.24
74.24,0.24
74.37,0.27
74.51,0.20
74.64,0.21
74.77,0.24
74.91,0.17
75.04,0.18
75.17,0.19
75.31,0.13
75.44,0.18
75.57,0.13
75.71,0.11
75.84,0.17
75.97,0.17
76.11,0.12
76.24,0.15
76.37,0.10
76.51,0.14
76.64,0.13
76.77,0.12
76.91,0.12
77.04,0.11
77.17,0.13
77.31,0.11
77.44,0.08
77.57,0.14
77.71,0.09
77.84,0.11
77.97,0.11
78.10,0.07
78.24,0.28
78.37,0.07
78.50,0.06
78.64,0.05
78.77,0.11
78.90,0.07
79.04,0.05
79.17,0.09
79.30,0.08
79.44,0.08
79.57,0.11
79.70,0.06
79.84,0.09
79.97,0.09
80.10,0.08
80.24,0.09
80.37,0.10
80.50,0.09
80.64,0.08
80.77,0.08
80.90,0.12
81.04,0.05
81.17,0.09
81.30,0.06
81.44,0.06
81.57,0.10
81.70,0.05
81.84,0.06
81.97,0.12
82.10,0.05
82.24,0.08
82.37,0.09
82.50,0.06
82.64,0.03
82.77,0.08
82.90,0.08
83.04,0.09
83.17,0.06
83.30,0.08
83.44,0.05
83.57,0.07
83.70,0.05
83.84,0.05
83.97,0.05
84.10,0.04
84.24,0.02
84.37,0.03
84.50,0.06
84.64,0.01
84.77,0.04
84.90,0.05
85.04,0.02
85.17,0.03
85.30,0.05
85.44,-0.03
85.57,0.06
85.70,0.03
85.84,-0.04
85.97,0.02
86.10,0.03
86.24,-0.02
86.37,0.03
86.50,0.03
86.64,-0.03
86.77,0.01
86.90,0.03
87.04,-0.03
87.17,-0.01
87.30,0.02
87.43,-0.06
87.57,0.09
87.70,-0.08
87.83,-0.02
87.97,-0.02
88.10,-0.06
88.23,0.01
88.37,-0.02
88.50,-0.07
88.63,0.01
88.77,0.00
88.90,-0.05
89.03,0.03
89.17,-0.01
89.30,0.00
89.43,-0.01
89.57,-0.01
89.70,-0.03
89.83,0.00
89.97,0.00
90.10,-0.05
90.23,0.01
90.37,0.00
90.50,-0.06
90.63,0.04
90.77,-0.02
90.90,-0.06
91.03,0.03
91.17,-0.06
91.30,-0.04
91.43,0.04
91.57,-0.06
91.70,-0.05
91.83,0.03
91.97,-0.06
92.10,-0.03
92.23,0.01
92.37,-0.07
92.50,-0.02
92.63,0.01
92.77,-0.04
92.90,-0.03
93.03,-0.02
93.17,-0.07
93.30,-0.02
93.43,-0.04
93.57,-0.06
93.70,-0.04
93.83,-0.04
93.97,-0.05
94.10,-0.06
94.23,-0.04
94.37,-0.04
94.50,-0.06
94.63,-0.03
94.77,-0.06
94.90,-0.07
95.03,-0.03
95.17,-0.05
95.30,-0.04
95.43,0.00
95.57,-0.07
95.70,-0.04
95.83,-0.03
95.97,-0.07
96.10,-0.03
96.23,-0.04
96.37,-0.02
96.50,-0.03
96.63,-0.04
96.76,-0.04
96.90,0.13
97.03,0.02
97.16,-0.02
97.30,-0.08
97.43,0.00
97.56,0.00
97.70,-0.09
97.83,-0.03
97.96,0.02
98.10,-0.05
98.23,-0.03
98.36,0.00
98.50,-0.05
98.63,-0.02
98.76,0.00
98.90,-0.07
99.03,-0.01
99.16,-0.02
99.30,-0.05
99.43,0.02
99.56,-0.06
99.70,-0.01
99.83,0.02
99.96,-0.02
100.10,0.00
100.23,-0.03
100.36,-0.02
100.50,-0.02
100.63,-0.03
100.76,-0.01
100.90,-0.06
101.03,-0.05
101.16,-0.04
101.30,-0.03
101.43,-0.02
101.56,-0.03
101.70,-0.02
101.83,-0.05
101.96,-0.06
102.10,-0.07
102.23,-0.06
102.36,-0.04
102.50,-0.03
102.63,-0.04
102.76,-0.02
102.90,-0.06
103.03,-0.01
103.16,-0.02
103.30,-0.10
103.43,-0.04
103.56,-0.04
103.70,-0.06
103.83,-0.05
103.96,-0.03
104.10,-0.05
104.23,-0.03
104.36,-0.02
104.50,-0.07
104.63,-0.06
104.76,-0.01
104.90,-0.07
105.03,-0.08
105.16,0.01
105.30,-0.07
105.43,-0.08
105.56,0.03
105.69,-0.10
105.83,-0.06
105.96,-0.01
106.09,-0.13
106.23,-0.05
106.36,0.01
106.49,-0.12
106.63,-0.04
106.76,-0.10
106.89,-0.07
107.03,0.00
107.16,-0.10
107.29,-0.06
107.43,0.02
107.56,-0.08
107.69,-0.03
107.83,0.04
107.96,-0.07
108.09,-0.02
108.23,0.03
108.36,-0.08
108.49,0.00
108.63,-0.03
108.76,-0.06
108.89,0.00
109.03,-0.01
109.16,-0.04
109.29,0.01
109.43,0.00
109.56,-0.02
109.69,0.00
109.83,0.01
109.96,-0.02
110.09,0.03
110.23,0.03
110.36,0.01
110.49,0.03
110.63,0.04
110.76,-0.03
110.89,0.05
111.03,0.05
111.16,0.05
111.29,0.09
111.43,0.06
111.56,0.06
111.69,0.09
111.83,0.08
111.96,0.07
112.09,0.11
112.23,0.11
112.36,0.09
112.49,0.15
112.63,0.09
112.76,0.09
112.89,0.14
113.03,0.09
113.16,0.13
113.29,0.14
113.43,0.10
113.56,0.14
113.69,0.13
113.83,0.10
113.96,0.13
114.09,0.11
114.23,0.11
114.36,0.11
114.49,0.07
114.63,0.11
114.76,0.08
114.89,0.07
115.02,0.06
115.16,0.02
115.29,0.04
115.42,0.04
115.56,0.04
115.69,0.19
115.82,0.03
115.96,-0.05
116.09,0.02
116.22,0.04
116.36,-0.03
116.49,0.01
116.62,0.04
116.76,-0.03
116.89,-0.01
117.02,0.01
117.16,-0.02
117.29,0.04
117.42,0.00
117.56,-0.02
117.69,0.01
117.82,0.00
117.96,-0.04
118.09,-0.02
118.22,0.01
118.36,-0.01
118.49,-0.03
118.62,0.01
118.76,-0.06
118.89,-0.03
119.02,0.02
119.16,0.00
119.29,-0.04
119.42,-0.01
119.56,-0.05
119.69,0.00
119.82,-0.04
119.96,-0.02
120.09,-0.01
120.22,-0.02
120.36,0.00
120.49,-0.04
120.62,0.00
120.76,0.01
120.89,-0.03
121.02,-0.02
121.16,0.02
121.29,-0.03
121.42,-0.02
121.56,-0.01
121.69,-0.01
121.82,-0.01
121.96,0.00
122.09,-0.03
122.22,-0.01
122.36,0.02
122.49,-0.03
122.62,0.01
122.76,-0.02
122.89,-0.04
123.02,-0.01
123.16,-0.04
123.29,-0.05
123.42,0.00
123.56,-0.10
123.69,-0.08
123.82,-0.01
123.96,-0.08
124.09,-0.09
124.22,0.00
124.35,-0.06
124.49,-0.06
124.62,-0.03
