Lyopholized in Dextranol; Stored 33 days at room temperature,
043 20190401 RT DexOL 33d001:10_UV,
ml, mAU
0.00,-0.14
0.13,-0.35
0.27,0.03
0.40,-0.04
0.53,-0.04
0.67,0.01
0.80,-0.06
0.93,-0.02
1.07,0.01
1.20,-0.04
1.33,-0.01
1.47,0.00
1.60,-0.04
1.73,-0.02
1.87,0.04
2.00,-0.01
2.13,-0.02
2.27,0.00
2.40,-0.06
2.53,-0.02
2.67,-0.04
2.80,-0.04
2.93,-0.04
3.06,-0.01
3.20,-0.03
3.33,-0.03
3.46,-0.03
3.60,0.00
3.73,-0.06
3.86,-0.01
4.00,-0.01
4.13,-0.07
4.26,-0.04
4.40,0.02
4.53,-0.07
4.66,0.00
4.80,0.00
4.93,-0.03
5.06,0.00
5.20,0.01
5.33,-0.05
5.46,-0.03
5.60,0.00
5.73,-0.02
5.86,-0.02
6.00,-0.02
6.13,-0.08
6.26,-0.07
6.40,0.00
6.53,-0.08
6.66,-0.06
6.80,-0.02
6.93,-0.09
7.06,-0.08
7.20,-0.02
7.33,-0.11
7.46,-0.09
7.60,-0.02
7.73,-0.14
7.86,0.03
8.00,-0.07
8.13,-0.16
8.26,-0.11
8.40,-0.20
8.53,-0.17
8.66,-0.09
8.79,-0.15
8.93,-0.15
9.06,-0.07
9.19,-0.14
9.33,-0.11
9.46,-0.07
9.59,-0.18
9.73,-0.04
9.86,-0.07
9.99,-0.13
10.13,-0.08
10.26,-0.08
10.39,-0.13
10.53,-0.05
10.66,-0.10
10.79,-0.12
10.93,-0.10
11.06,-0.12
11.19,-0.11
11.33,-0.09
11.46,-0.10
11.59,-0.13
11.73,-0.09
11.86,-0.13
11.99,-0.14
12.13,-0.08
12.26,-0.11
12.39,-0.11
12.53,-0.10
12.66,-0.12
12.79,-0.12
12.93,-0.05
13.06,-0.11
13.19,-0.12
13.33,-0.07
13.46,-0.15
13.59,-0.14
13.73,-0.10
13.86,-0.13
13.99,-0.13
14.13,-0.08
14.26,-0.14
14.39,-0.12
14.52,-0.10
14.66,-0.17
14.79,-0.12
14.92,-0.11
15.06,-0.15
15.19,-0.11
15.32,-0.13
15.46,-0.13
15.59,-0.11
15.72,-0.12
15.86,-0.10
15.99,-0.13
16.12,-0.15
16.26,-0.13
16.39,-0.14
16.52,-0.13
16.66,-0.15
16.79,-0.15
16.92,-0.15
17.06,-0.15
17.19,-0.02
17.32,0.05
17.46,-0.15
17.59,-0.23
17.72,-0.17
17.86,-0.14
17.99,-0.21
18.12,-0.13
18.26,-0.11
18.39,-0.19
18.52,-0.11
18.66,-0.14
18.79,-0.18
18.92,-0.13
19.06,-0.10
19.19,-0.15
19.32,-0.16
19.46,-0.12
19.59,-0.18
19.72,-0.15
19.86,-0.17
19.99,-0.18
20.12,-0.18
20.25,-0.15
20.39,-0.17
20.52,-0.17
20.65,-0.16
20.79,-0.19
20.92,-0.17
21.05,-0.17
21.19,-0.17
21.32,-0.18
21.45,-0.19
21.59,-0.16
21.72,-0.17
21.85,-0.16
21.99,-0.18
22.12,-0.17
22.25,-0.17
22.39,-0.17
22.52,-0.18
22.65,-0.19
22.79,-0.14
22.92,-0.17
23.05,-0.16
23.19,-0.17
23.32,-0.20
23.45,-0.18
23.59,-0.13
23.72,-0.22
23.85,-0.11
23.99,-0.20
24.12,-0.23
24.25,-0.16
24.39,-0.22
24.52,-0.19
24.65,-0.13
24.79,-0.19
24.92,-0.21
25.05,-0.17
25.19,-0.23
25.32,-0.19
25.45,-0.13
25.59,-0.24
25.72,-0.21
25.85,-0.13
25.99,-0.24
26.12,-0.23
26.25,-0.12
26.38,-0.26
26.52,-0.17
26.65,-0.10
26.78,-0.29
26.92,-0.20
27.05,-0.26
27.18,-0.23
27.32,-0.18
27.45,-0.29
27.58,-0.25
27.72,-0.19
27.85,-0.26
27.98,-0.25
28.12,-0.18
28.25,-0.25
28.38,-0.25
28.52,-0.19
28.65,-0.23
28.78,-0.24
28.92,-0.17
29.05,-0.26
29.18,-0.23
29.32,-0.17
29.45,-0.26
29.58,-0.25
29.72,-0.21
29.85,-0.28
29.98,-0.23
30.12,-0.21
30.25,-0.29
30.38,-0.21
30.52,-0.21
30.65,-0.25
30.78,-0.20
30.92,-0.21
31.05,-0.28
31.18,-0.21
31.32,-0.24
31.45,-0.25
31.58,-0.19
31.72,-0.23
31.85,-0.24
31.98,-0.19
32.11,-0.25
32.25,-0.23
32.38,-0.22
32.51,-0.21
32.65,-0.19
32.78,-0.22
32.91,-0.21
33.05,-0.20
33.18,-0.20
33.31,-0.20
33.45,-0.23
33.58,-0.21
33.71,-0.20
33.85,-0.22
33.98,-0.19
34.11,-0.21
34.25,-0.21
34.38,-0.17
34.51,-0.18
34.65,-0.23
34.78,-0.20
34.91,-0.22
35.05,-0.21
35.18,-0.20
35.31,-0.22
35.45,-0.20
35.58,-0.19
35.71,-0.18
